Day,Group,Folder,Cell_ID,Area,Aspect_Ratio,Length_um,Width_um,C1_Mean,C2_Mean,C3_PI_Mean,Ratio_C1_C2,Status
1,C,C1,C1_00001,1.741,2.014,2.113,1.049,77.437,364.437,2.476,0.212484,living
1,C,C1,C1_00002,2.924,2.280,2.914,1.278,46.694,494.457,3.006,0.094434,living
1,C,C1,C1_00003,2.096,2.408,2.535,1.053,103.460,307.540,2.476,0.336410,living
1,C,C1,C1_00004,1.656,1.596,1.834,1.149,104.816,380.582,2.408,0.275411,living
1,C,C1,C1_00005,2.535,1.762,2.385,1.353,88.313,370.160,2.373,0.238582,living
1,C,C1,C1_00006,1.386,2.079,1.915,0.921,76.512,332.890,2.634,0.229842,living
1,C,C1,C1_00007,1.724,1.718,1.942,1.130,107.765,368.127,2.255,0.292737,living
1,C,C1,C1_00008,2.383,2.280,2.630,1.154,70.312,335.475,2.752,0.209589,living
1,C,C1,C1_00009,1.504,1.810,1.862,1.029,2.371,386.944,2.843,0.006127,living
1,C,C1,C1_00010,1.808,1.903,2.093,1.100,102.421,379.897,2.065,0.269601,living
1,C,C1,C1_00011,2.011,2.172,2.358,1.086,94.202,372.210,2.261,0.253087,living
1,C,C1,C1_00012,2.636,2.280,2.766,1.213,77.455,441.494,2.481,0.175439,living
1,C,C1,C1_00013,2.265,2.149,2.489,1.158,75.433,423.075,2.396,0.178297,living
1,C,C1,C1_00014,2.991,2.280,2.947,1.292,80.305,397.864,2.638,0.201840,living
1,C,C1,C1_00015,3.262,1.453,2.457,1.691,57.632,435.705,2.047,0.132273,living
1,C,C1,C1_00016,2.282,2.280,2.574,1.129,72.215,403.733,2.341,0.178868,living
1,C,C1,C1_00017,2.552,1.925,2.501,1.299,55.099,395.556,3.073,0.139296,living
1,C,C1,C1_00018,2.535,3.363,3.295,0.980,38.100,354.007,2.140,0.107625,living
1,C,C1,C1_00019,1.758,1.844,2.032,1.102,56.327,422.663,2.433,0.133267,living
1,C,C1,C1_00020,2.332,2.212,2.563,1.159,42.942,391.493,2.094,0.109688,living
1,C,C1,C1_00021,2.670,2.146,2.701,1.259,58.253,440.772,2.532,0.132162,living
1,C,C1,C1_00022,1.927,1.597,1.979,1.239,21.105,400.693,2.167,0.052672,living
1,C,C1,C1_00023,1.166,2.042,1.741,0.853,28.522,363.667,2.826,0.078428,living
1,C,C1,C1_00024,2.822,1.798,2.542,1.414,2.629,379.952,2.174,0.006919,living
1,C,C1,C1_00025,2.991,2.280,2.947,1.292,23.497,445.819,2.627,0.052706,living
1,C,C1,C1_00026,1.318,1.697,1.688,0.994,21.231,413.910,2.231,0.051293,living
1,C,C1,C1_00027,1.639,3.067,2.530,0.825,16.680,357.062,2.041,0.046716,living
1,C,C1,C1_00028,1.335,2.458,2.044,0.832,14.076,356.342,2.165,0.039501,living
1,C,C1,C1_00029,0.980,2.377,1.722,0.725,9.828,348.034,2.397,0.028237,living
1,C,C1,C1_00030,2.298,3.026,2.976,0.983,13.471,362.522,2.375,0.037158,living
1,C,C1,C1_00031,1.200,4.994,2.762,0.553,8.915,318.465,2.507,0.027995,living
1,C,C1,C1_00032,1.065,4.170,2.378,0.570,10.286,320.683,2.825,0.032074,living
1,C,C1,C1_00033,2.332,2.828,2.898,1.025,9.775,387.413,2.681,0.025232,living
1,C,C1,C1_00034,1.386,2.280,2.006,0.880,84.939,329.866,3.098,0.257496,living
1,C,C1,C1_00035,2.434,2.386,2.719,1.140,83.410,316.806,2.125,0.263284,living
1,C,C1,C1_00036,2.704,1.895,2.554,1.348,115.819,418.062,2.675,0.277037,living
1,C,C1,C1_00037,2.248,1.636,2.164,1.323,117.188,412.865,2.128,0.283841,living
1,C,C1,C1_00038,3.245,1.743,2.684,1.540,94.682,351.422,2.109,0.269426,living
1,C,C1,C1_00039,1.335,1.566,1.632,1.042,31.354,327.430,2.620,0.095759,living
1,C,C1,C1_00040,3.329,2.280,3.109,1.363,92.365,485.563,2.604,0.190223,living
1,C,C1,C1_00041,2.400,1.943,2.437,1.254,89.599,399.218,2.655,0.224435,living
1,C,C1,C1_00042,2.045,1.995,2.279,1.142,77.860,386.669,2.165,0.201359,living
1,C,C1,C1_00043,1.960,1.664,2.038,1.225,51.828,444.009,2.457,0.116727,living
1,C,C1,C1_00044,2.856,1.454,2.299,1.581,19.118,432.438,2.278,0.044211,living
1,C,C1,C1_00045,2.298,2.280,2.583,1.133,59.949,379.000,2.596,0.158176,living
1,C,C1,C1_00046,2.231,2.780,2.810,1.011,53.045,348.795,2.212,0.152082,living
1,C,C1,C1_00047,1.268,1.809,1.709,0.945,45.800,351.107,2.053,0.130445,living
1,C,C1,C1_00048,1.673,2.149,2.140,0.996,30.283,380.657,2.657,0.079554,living
1,C,C1,C1_00049,2.958,1.178,2.106,1.788,2.846,443.811,2.366,0.006412,living
1,C,C1,C1_00050,1.437,2.280,2.043,0.896,32.400,353.894,2.835,0.091553,living
1,C,C1,C1_00051,2.231,3.176,3.004,0.946,24.023,339.803,3.030,0.070696,living
1,C,C1,C1_00052,1.453,1.704,1.776,1.042,21.035,387.674,2.581,0.054259,living
1,C,C1,C1_00053,1.217,2.062,1.787,0.867,21.708,344.347,1.889,0.063042,living
1,C,C1,C1_00054,1.251,2.172,1.860,0.856,12.932,330.959,2.689,0.039076,living
1,C,C1,C1_00055,1.335,1.975,1.832,0.928,20.696,354.342,2.190,0.058407,living
1,C,C1,C1_00056,1.673,2.280,2.204,0.967,26.152,396.071,2.667,0.066027,living
1,C,C1,C1_00057,2.400,2.829,2.940,1.039,22.268,392.007,2.239,0.056804,living
1,C,C1,C1_00058,0.862,1.926,1.454,0.755,13.157,333.020,2.314,0.039508,living
1,C,C1,C1_00059,1.606,2.139,2.091,0.978,14.453,362.295,2.379,0.039892,living
1,C,C1,C1_00060,3.279,2.280,3.085,1.353,13.521,361.108,2.902,0.037442,living
1,C,C1,C1_00061,1.639,1.861,1.971,1.059,12.856,359.299,2.619,0.035780,living
1,C,C1,C1_00062,1.470,2.183,2.021,0.926,12.897,374.586,2.460,0.034429,living
1,C,C1,C1_00063,1.994,2.280,2.406,1.055,70.280,354.992,2.356,0.197976,living
1,C,C1,C1_00064,2.974,2.280,2.938,1.289,117.114,462.102,2.585,0.253437,living
1,C,C1,C1_00065,1.741,2.280,2.248,0.986,82.971,323.194,2.602,0.256721,living
1,C,C1,C1_00066,2.789,2.280,2.846,1.248,52.539,365.133,2.345,0.143891,living
1,C,C1,C1_00067,0.896,2.280,1.613,0.707,2.321,314.000,2.019,0.007391,living
1,C,C1,C1_00068,2.315,2.280,2.593,1.137,105.401,387.562,2.577,0.271960,living
1,C,C1,C1_00069,2.569,2.280,2.731,1.198,88.697,424.197,2.539,0.209095,living
1,C,C1,C1_00070,1.268,2.280,1.919,0.841,2.987,275.093,2.627,0.010857,living
1,C,C1,C1_00071,2.805,2.280,2.854,1.251,102.367,392.711,2.307,0.260669,living
1,C,C1,C1_00072,2.569,2.280,2.731,1.198,67.191,368.599,2.461,0.182287,living
1,C,C1,C1_00073,2.907,2.280,2.905,1.274,90.826,404.843,2.547,0.224348,living
1,C,C1,C1_00074,2.180,2.280,2.516,1.103,99.070,436.620,2.256,0.226901,living
1,C,C1,C1_00075,3.076,2.280,2.988,1.311,87.203,446.907,2.560,0.195126,living
1,C,C1,C1_00076,2.265,2.280,2.564,1.125,40.799,383.821,2.067,0.106296,living
1,C,C1,C1_00077,2.079,2.280,2.457,1.077,55.480,367.691,2.374,0.150887,living
1,C,C1,C1_00078,1.960,2.280,2.385,1.046,42.095,357.664,2.026,0.117694,living
1,C,C1,C1_00079,2.924,2.280,2.914,1.278,54.734,427.925,2.578,0.127906,living
1,C,C1,C1_00080,2.822,2.280,2.862,1.255,42.293,373.970,2.467,0.113093,living
1,C,C1,C1_00081,2.451,2.280,2.668,1.170,20.966,343.786,2.766,0.060984,living
1,C,C1,C1_00082,1.910,2.280,2.355,1.033,38.257,403.770,2.469,0.094749,living
1,C,C1,C1_00083,1.927,2.280,2.365,1.037,35.798,400.640,2.789,0.089353,living
1,C,C1,C1_00084,1.470,2.280,2.066,0.906,23.080,369.977,2.805,0.062383,living
1,C,C1,C1_00085,1.707,2.280,2.226,0.976,22.792,392.267,2.515,0.058103,living
1,C,C1,C1_00086,1.453,2.280,2.054,0.901,18.000,359.907,2.151,0.050013,living
1,C,C1,C1_00087,1.521,2.280,2.101,0.922,19.600,372.844,2.311,0.052569,living
1,C,C1,C1_00088,1.555,2.280,2.125,0.932,10.630,300.511,2.348,0.035375,living
1,C,C1,C1_00089,1.538,2.280,2.113,0.927,11.956,346.264,2.714,0.034529,living
1,C,C1,C1_00090,1.606,2.280,2.159,0.947,15.042,346.011,3.042,0.043473,living
1,C,C1,C1_00091,0.693,2.280,1.418,0.622,2.415,321.268,1.756,0.007516,living
1,C,C1,C1_00092,1.335,2.280,1.969,0.863,13.468,370.937,2.835,0.036309,living
1,C,C1,C1_00093,0.828,2.280,1.550,0.680,11.082,328.327,2.633,0.033752,living
1,C,C1,C1_00094,0.794,2.280,1.518,0.666,9.702,313.426,2.128,0.030955,living
1,C,C1,C1_00095,1.014,3.051,1.985,0.651,7.267,318.500,2.083,0.022815,living
1,C,C1,C1_00096,1.707,1.585,1.856,1.171,81.842,348.248,1.960,0.235010,living
1,C,C1,C1_00097,1.538,1.547,1.741,1.125,65.495,317.132,2.769,0.206521,living
1,C,C1,C1_00098,1.234,2.343,1.919,0.819,56.123,290.027,2.274,0.193510,living
1,C,C1,C1_00099,1.217,2.388,1.924,0.806,55.500,289.444,2.403,0.191747,living
1,C,C1,C1_00100,2.636,1.829,2.478,1.355,107.769,408.506,2.615,0.263813,living
1,C,C1,C1_00101,1.115,2.078,1.718,0.827,73.621,303.909,2.273,0.242247,living
