"Batch","Day","Timeline_Day","Replikate_Ordner","Zellen_Gesamt","Zellen_Lebend","Zellen_Tot","Ratio_Mean","Ratio_SD","C1_405nm_Mean_AU","C1_405nm_SD_AU","C2_488nm_Mean_AU","C2_488nm_SD_AU","Tote_Zellen_Mean_Pct","Tote_Zellen_SD_Pct"
"Batch 1",2,2,"A2, B2",1294,1281,7,0.9824,0.0022,493,57.8,505.1,61.6,0.63,0.54
"Batch 1",3,3,"A3, B3",1450,1378,45,1.0263,0.0204,718.4,275,712.1,276.9,3.48,1.47
"Batch 1",4,4,"A4",70,59,11,0.1242,0,58.7,0,507.6,0,15.71,0
"Batch 1",7,7,"A7, B7",617,546,71,0.1181,0.0099,54.2,0.8,464.3,43.9,11.8,4.87
"Batch 1",8,8,"A8, B8",2447,2139,308,0.1084,0.0304,48.5,0.5,470.7,131.7,12.61,1.48
"Batch 1",9,9,"A9, B9",775,675,100,0.1253,0.0434,42.5,9.1,394.2,212.9,11.51,2.59
"Batch 1",10,10,"A10, B10",1576,1379,197,0.086,0.0015,49.3,7.5,572.4,75.6,12.36,3.64
"Batch 1",11,11,"A11, B11",1679,1464,215,0.089,0.0066,50.7,10,566.9,66,12.4,3.05
"Batch 2",1,7,"C1, D1",3438,3423,15,0.125,0.0034,45,2.5,365.3,10.8,0.43,0.18
"Batch 2",2,8,"C2, D2",2741,2689,52,0.0796,0.0024,58.7,2.5,730.5,54.3,1.91,0.14
"Batch 2",3,9,"C3, D3",1004,955,49,0.1202,0.002,60.5,0.2,515,0.5,4.9,0.49
"Batch 2",4,10,"C4, D4",1519,1339,180,0.0866,0.0015,65.1,4.7,755.4,61.4,10.34,5.37
"Batch 2",5,11,"C5, D5",998,903,95,0.0836,0.0038,60.4,0.7,722.3,44,10.02,5.84
