"Batch","Timeline_Day","Mean_Ratio","SD_Ratio"
"Batch 1",2,0.982364643640811,0.00216836241341644
"Batch 1",3,1.02629273117606,0.0204365203979845
"Batch 1",4,0.12421179661017,0
"Batch 1",7,0.118085587559456,0.00992389412479942
"Batch 1",8,0.108375820713457,0.030400794011098
"Batch 1",9,0.125254990905245,0.0433671995816362
"Batch 1",10,0.0860202546986349,0.00153931701188795
"Batch 1",11,0.0889672337284799,0.00663869387305594
"Batch 2",7,0.12498048091757,0.00340520150450097
"Batch 2",8,0.0796381043247142,0.00244690576736121
"Batch 2",9,0.120189669129031,0.00204018280126251
"Batch 2",10,0.0866359797247043,0.00145165611486555
"Batch 2",11,0.0836457446303848,0.00378445046636539
