"Merged_Day","Mean_Ratio","SD_Ratio","Replicates"
1,0.12498048091757,0.00340520150450097,"C1, D1"
2,0.0796381043247142,0.00244690576736121,"C2, D2"
3,0.120189669129031,0.00204018280126251,"C3, D3"
4,0.0991612520198594,0.0217186783884575,"A4, C4, D4"
5,0.0836457446303848,0.00378445046636539,"C5, D5"
7,0.118085587559456,0.00992389412479942,"A7, B7"
8,0.108375820713457,0.030400794011098,"A8, B8"
9,0.125254990905245,0.0433671995816362,"A9, B9"
10,0.0860202546986349,0.00153931701188795,"A10, B10"
11,0.0889672337284799,0.00663869387305594,"A11, B11"
